// Output Data File:
//
// FILENAME 2BusTestCase.out
//
// CASE FILENAME :
2BusTestCase.dat

//  iNodeNumber	  iBranchNumber	     iGenNumber	     iLSENumber
              2	              1	              2	              1
// iMaxDay
       3
#GeneratorSupplyOfferDataStart
//  Day	GenCo Name	     aR ($/MWh)	    bR ($/MW2h)	     CapRL (MW)	     CapRU (MW)
   21	    2	801.00	  0.00
   21	    3	801.00	  0.00
   21	    4	801.00	  0.00
   21	    5	801.00	  0.00
   21	    6	801.00	  0.00
   21	    7	801.00	  0.00
   21	    8	801.00	  0.00
   21	    9	801.00	  0.00
   21	   10	801.00	  0.00
   21	   11	801.00	  0.00
   21	   12	801.00	  0.00
   22	    1	801.00	  0.00
   22	    2	801.00	  0.00
   22	    3	801.00	  0.00
   22	    4	801.00	  0.00
   22	    5	801.00	  0.00
   22	    6	801.00	  0.00
   22	    7	801.00	  0.00
   22	    8	801.00	  0.00
   22	    9	801.00	  0.00
   22	   10	801.00	  0.00
   22	   11	801.00	  0.00
   22	   12	801.00	  0.00
   23	    1	801.00	  0.00
   23	    2	801.00	  0.00
   23	    3	801.00	  0.00
   23	    4	801.00	  0.00
   23	    5	801.00	  0.00
   23	    6	801.00	  0.00
   23	    7	801.00	  0.00
   23	    8	801.00	  0.00
   23	    9	801.00	  0.00
   23	   10	801.00	  0.00
   23	   11	801.00	  0.00
   23	   12	801.00	  0.00
   24	    1	801.00	  0.00
   24	    2	801.00	  0.00
   24	    3	801.00	  0.00
   24	    4	801.00	  0.00
   24	    5	801.00	  0.00
   24	    6	801.00	  0.00
   24	    7	801.00	  0.00
   24	    8	801.00	  0.00
   24	    9	801.00	  0.00
   24	   10	801.00	  0.00
   24	   11	801.00	  0.00
   24	   12	801.00	  0.00
   25	    1	801.00	  0.00
   25	    2	801.00	  0.00
   25	    3	801.00	  0.00
   25	    4	801.00	  0.00
   25	    5	801.00	  0.00
   25	    6	801.00	  0.00
   25	    7	801.00	  0.00
   25	    8	801.00	  0.00
   25	    9	801.00	  0.00
   25	   10	801.00	  0.00
   25	   11	801.00	  0.00
   25	   12	801.00	  0.00
   26	    1	801.00	  0.00
   26	    2	801.00	  0.00
   26	    3	801.00	  0.00
   26	    4	801.00	  0.00
   26	    5	801.00	  0.00
   26	    6	801.00	  0.00
   26	    7	801.00	  0.00
   26	    8	801.00	  0.00
   26	    9	801.00	  0.00
   26	   10	801.00	  0.00
   26	   11	801.00	  0.00
   26	   12	801.00	  0.00
   27	    1	801.00	  0.00
   27	    2	801.00	  0.00
   27	    3	801.00	  0.00
   27	    4	801.00	  0.00
   27	    5	801.00	  0.00
   27	    6	801.00	  0.00
   27	    7	801.00	  0.00
   27	    8	801.00	  0.00
   27	    9	801.00	  0.00
   27	   10	801.00	  0.00
   27	   11	801.00	  0.00
   27	   12	801.00	  0.00
   28	    1	801.00	  0.00
   28	    2	801.00	  0.00
   28	    3	801.00	  0.00
   28	    4	801.00	  0.00
   28	    5	801.00	  0.00
   28	    6	801.00	  0.00
   28	    7	801.00	  0.00
   28	    8	801.00	  0.00
   28	    9	801.00	  0.00
   28	   10	801.00	  0.00
   28	   11	801.00	  0.00
   28	   12	801.00	  0.00
   29	    1	801.00	  0.00
   29	    2	801.00	  0.00
   29	    3	801.00	  0.00
   29	    4	801.00	  0.00
   29	    5	801.00	  0.00
   29	    6	801.00	  0.00
   29	    7	801.00	  0.00
   29	    8	801.00	  0.00
   29	    9	801.00	  0.00
   29	   10	801.00	  0.00
   29	   11	801.00	  0.00
   29	   12	801.00	  0.00
   30	    1	801.00	  0.00
   30	    2	801.00	  0.00
   30	    3	801.00	  0.00
   30	    4	801.00	  0.00
   30	    5	801.00	  0.00
   30	    6	801.00	  0.00
   30	    7	801.00	  0.00
   30	    8	801.00	  0.00
   30	    9	801.00	  0.00
   30	   10	801.00	  0.00
   30	   11	801.00	  0.00
   30	   12	801.00	  0.00
   31	    1	801.00	  0.00
   31	    2	801.00	  0.00
   31	    3	801.00	  0.00
   31	    4	801.00	  0.00
   31	    5	801.00	  0.00
   31	    6	801.00	  0.00
   31	    7	801.00	  0.00
   31	    8	801.00	  0.00
   31	    9	801.00	  0.00
   31	   10	801.00	  0.00
   31	   11	801.00	  0.00
   31	   12	801.00	  0.00
   32	    1	801.00	  0.00
   32	    2	801.00	  0.00
   32	    3	801.00	  0.00
   32	    4	801.00	  0.00
   32	    5	801.00	  0.00
   32	    6	801.00	  0.00
   32	    7	801.00	  0.00
   32	    8	801.00	  0.00
   32	    9	801.00	  0.00
   32	   10	801.00	  0.00
   32	   11	801.00	  0.00
   32	   12	801.00	  0.00
   33	    1	801.00	  0.00
   33	    2	801.00	  0.00
   33	    3	801.00	  0.00
   33	    4	801.00	  0.00
   33	    5	801.00	  0.00
   33	    6	801.00	  0.00
   33	    7	801.00	  0.00
   33	    8	801.00	  0.00
   33	    9	801.00	  0.00
   33	   10	801.00	  0.00
   33	   11	801.00	  0.00
   33	   12	801.00	  0.00
   34	    1	801.00	  0.00
   34	    2	801.00	  0.00
   34	    3	801.00	  0.00
   34	    4	801.00	  0.00
   34	    5	801.00	  0.00
   34	    6	801.00	  0.00
   34	    7	801.00	  0.00
   34	    8	801.00	  0.00
   34	    9	801.00	  0.00
   34	   10	801.00	  0.00
   34	   11	801.00	  0.00
   34	   12	801.00	  0.00
   35	    1	801.00	  0.00
   35	    2	801.00	  0.00
   35	    3	801.00	  0.00
   35	    4	801.00	  0.00
   35	    5	801.00	  0.00
   35	    6	801.00	  0.00
   35	    7	801.00	  0.00
   35	    8	801.00	  0.00
   35	    9	801.00	  0.00
   35	   10	801.00	  0.00
   35	   11	801.00	  0.00
   35	   12	801.00	  0.00
   36	    1	801.00	  0.00
   36	    2	801.00	  0.00
   36	    3	801.00	  0.00
   36	    4	801.00	  0.00
   36	    5	801.00	  0.00
   36	    6	801.00	  0.00
   36	    7	801.00	  0.00
   36	    8	801.00	  0.00
   36	    9	801.00	  0.00
   36	   10	801.00	  0.00
   36	   11	801.00	  0.00
   36	   12	801.00	  0.00
   37	    1	801.00	  0.00
   37	    2	801.00	  0.00
   37	    3	801.00	  0.00
   37	    4	801.00	  0.00
   37	    5	801.00	  0.00
   37	    6	801.00	  0.00
   37	    7	801.00	  0.00
   37	    8	801.00	  0.00
   37	    9	801.00	  0.00
   37	   10	801.00	  0.00
   37	   11	801.00	  0.00
   37	   12	801.00	  0.00
   38	    1	801.00	  0.00
   38	    2	801.00	  0.00
   38	    3	801.00	  0.00
   38	    4	801.00	  0.00
   38	    5	801.00	  0.00
   38	    6	801.00	  0.00
   38	    7	801.00	  0.00
   38	    8	801.00	  0.00
   38	    9	801.00	  0.00
   38	   10	801.00	  0.00
   38	   11	801.00	  0.00
   38	   12	801.00	  0.00
   39	    1	801.00	  0.00
   39	    2	801.00	  0.00
   39	    3	801.00	  0.00
   39	    4	801.00	  0.00
   39	    5	801.00	  0.00
   39	    6	801.00	  0.00
   39	    7	801.00	  0.00
   39	    8	801.00	  0.00
   39	    9	801.00	  0.00
   39	   10	801.00	  0.00
   39	   11	801.00	  0.00
   39	   12	801.00	  0.00
   40	    1	801.00	  0.00
   40	    2	801.00	  0.00
   40	    3	801.00	  0.00
   40	    4	801.00	  0.00
   40	    5	801.00	  0.00
   40	    6	801.00	  0.00
   40	    7	801.00	  0.00
   40	    8	801.00	  0.00
   40	    9	801.00	  0.00
   40	   10	801.00	  0.00
   40	   11	801.00	  0.00
   40	   12	801.00	  0.00
   41	    1	801.00	  0.00
   41	    2	801.00	  0.00
   41	    3	801.00	  0.00
   41	    4	801.00	  0.00
   41	    5	801.00	  0.00
   41	    6	801.00	  0.00
   41	    7	801.00	  0.00
   41	    8	801.00	  0.00
   41	    9	801.00	  0.00
   41	   10	801.00	  0.00
   41	   11	801.00	  0.00
   41	   12	801.00	  0.00
   42	    1	801.00	  0.00
   42	    2	801.00	  0.00
   42	    3	801.00	  0.00
   42	    4	801.00	  0.00
   42	    5	801.00	  0.00
   42	    6	801.00	  0.00
   42	    7	801.00	  0.00
   42	    8	801.00	  0.00
   42	    9	801.00	  0.00
   42	   10	801.00	  0.00
   42	   11	801.00	  0.00
   42	   12	801.00	  0.00
   43	    1	801.00	  0.00
   43	    2	801.00	  0.00
   43	    3	801.00	  0.00
   43	    4	801.00	  0.00
   43	    5	801.00	  0.00
   43	    6	801.00	  0.00
   43	    7	801.00	  0.00
   43	    8	801.00	  0.00
   43	    9	801.00	  0.00
   43	   10	801.00	  0.00
   43	   11	801.00	  0.00
   43	   12	801.00	  0.00
   44	    1	801.00	  0.00
   44	    2	801.00	  0.00
   44	    3	801.00	  0.00
   44	    4	801.00	  0.00
   44	    5	801.00	  0.00
   44	    6	801.00	  0.00
